customer_id,account_years,annual_income,income_change_pct,on_time_payment_ratio,late_payment_count,credit_score,spending_profile,daily_limit,avg_amount,std_amount,max_amount,total_spent,txn_count,fraud_ratio
CUST0001,7,76664.48,-1.65,0.88,1,729,low,1000.0,509.06119,506.1486208673198,3931.78,509061.19,1000,0.02
CUST0002,15,33469.22,13.06,0.95,0,699,moderate,1000.0,217.61610000000002,230.521164297726,1682.09,217616.1,1000,0.014
CUST0003,11,52762.18,-0.91,0.89,1,720,high,1000.0,353.65736,356.40030701315266,2823.19,353657.36,1000,0.011
CUST0004,8,58608.2,-22.4,0.76,2,736,low,1000.0,382.31809000000004,366.7299780070082,2493.28,382318.09,1000,0.015
CUST0005,7,69706.32,-4.98,0.9,2,758,moderate,1000.0,468.44798,489.7397729301853,4163.37,468447.98,1003,0.019
CUST0006,19,44546.66,9.93,0.79,4,677,high,1000.0,319.29998,305.34409374144207,2247.2,319299.98,1000,0.022
CUST0007,11,58215.58,5.46,0.74,1,740,high,1000.0,383.44534999999996,387.0406192970753,3258.94,383445.35,1000,0.015
CUST0008,11,60599.67,-8.4,0.88,3,663,moderate,1000.0,751.27364,766.260217968355,6500.17,1126910.46,1500,0.010666666666666666
CUST0009,4,45910.6,-5.65,0.88,4,725,high,1000.0,156.85543824701193,165.83350366626973,1099.25,78741.43,502,0.025896414342629483
CUST0010,8,45433.7,-4.11,0.89,4,690,moderate,1000.0,132.118,126.20765617090076,1093.54,66059.0,500,0.024
CUST0011,3,61974.92,-6.63,0.97,1,702,moderate,1000.0,776.7502533333333,797.1691419690102,5784.8,1165125.38,1500,0.015333333333333332
CUST0012,2,57393.1,-20.3,0.92,2,701,high,1000.0,357.51678999999996,336.73228853042116,2703.77,357516.79,1000,0.018
CUST0013,12,70009.55,7.64,0.61,3,600,low,1000.0,855.0774733333333,844.9211339384285,5320.98,1282616.21,1500,0.009333333333333334
CUST0014,6,38934.83,12.57,0.87,0,624,moderate,1000.0,256.07182,242.18325440873002,1694.73,256071.82,1000,0.011
CUST0015,2,52986.37,-15.18,0.81,1,685,high,1000.0,343.79918,337.9382919227642,2120.14,343799.18,1000,0.014
CUST0016,1,55415.68,12.44,0.85,2,596,moderate,1000.0,710.0189081225033,694.3320051746624,4713.91,1066448.4,1502,0.014647137150466045
CUST0017,12,76277.28,-1.03,0.88,3,722,moderate,1000.0,499.01505,497.5915963180285,4086.82,499015.05,1000,0.01
CUST0018,12,41191.72,12.25,0.92,2,724,moderate,1000.0,130.44738,131.44316430846618,736.15,65223.69,500,0.012
CUST0019,17,64693.04,0.38,0.86,1,696,low,1000.0,408.18528000000003,393.3560334500706,2701.51,408185.28,1000,0.022
CUST0020,10,65055.11,1.36,0.87,1,624,moderate,1000.0,231.2208,234.92683668271607,1913.43,115610.4,500,0.008
CUST0021,16,92927.94,3.72,0.83,0,749,moderate,1029.95,620.39314,655.1570241316267,3907.78,620393.14,1000,0.017
CUST0022,15,39858.21,-7.9,0.86,2,782,moderate,1000.0,283.48177000000004,278.5086423330904,2098.71,283481.77,1000,0.019
CUST0023,15,46855.33,11.95,0.92,2,687,moderate,1000.0,307.82105,309.03509603891473,2160.75,307821.05,1000,0.011
CUST0024,19,41252.89,-11.21,0.98,1,706,moderate,1000.0,274.835,270.6912168961246,1787.81,274835.0,1000,0.012
CUST0025,12,26604.42,-4.02,0.83,2,690,low,1000.0,331.86047333333335,318.83537072915027,1919.86,497790.71,1500,0.013333333333333334
CUST0026,3,95293.74,5.24,0.8,3,707,high,1140.75,319.56862,304.01069725848583,2004.94,159784.31,500,0.016
CUST0027,5,35169.98,-5.09,0.96,2,674,moderate,1000.0,112.14878486055777,118.45297225079426,865.35,56298.69,502,0.0199203187250996
CUST0028,19,43673.89,7.78,0.7,2,678,moderate,1000.0,299.52201,301.5276286300929,2102.12,299522.01,1000,0.015
CUST0029,7,86315.33,13.76,0.84,3,725,moderate,1000.0,524.1147,496.48857246093195,4485.84,524114.7,1000,0.009
CUST0030,9,24937.86,10.13,0.66,2,797,moderate,1000.0,174.2121,167.7785050527861,924.27,174212.1,1000,0.02
CUST0031,7,75127.03,-19.36,0.89,2,610,moderate,1000.0,485.93604999999997,488.1736793905905,3575.45,485936.05,1000,0.015
CUST0032,18,31739.51,1.26,0.89,1,675,moderate,1000.0,204.13794000000001,213.13991795668628,1613.65,204137.94,1000,0.01
CUST0033,4,84933.89,10.29,0.85,4,621,moderate,1000.0,536.48589,528.2612990557686,3338.23,536485.89,1000,0.015
CUST0034,14,20000.0,-13.17,0.94,5,760,moderate,1000.0,248.24901333333335,250.0456005730497,2098.53,372373.52,1500,0.027333333333333334
CUST0035,18,24930.61,7.24,0.87,1,651,moderate,1000.0,173.49881,171.21081104913898,1604.45,173498.81,1000,0.012
CUST0036,9,49101.56,6.67,0.95,1,608,moderate,1000.0,342.23095,338.8157561359912,2222.36,342230.95,1000,0.012
CUST0037,2,79436.45,-12.12,0.96,4,712,low,1000.0,549.2689,506.3055613297406,2823.94,549268.9,1000,0.012
CUST0038,15,59380.83,8.34,0.96,2,767,high,1098.87,775.4302933333333,779.612038114105,6194.9,1163145.44,1500,0.012666666666666666
CUST0039,7,53285.7,2.73,0.81,4,713,moderate,1000.0,373.40945,378.04872301221786,2209.76,373409.45,1000,0.014
CUST0040,12,86920.88,6.5,0.91,3,690,high,1128.56,293.72646000000003,301.7502209984503,2044.98,146863.23,500,0.02
CUST0041,8,103104.79,-9.66,0.82,2,700,low,1000.0,1274.1268533333334,1274.9052795161128,11612.36,1911190.28,1500,0.016666666666666666
CUST0042,15,73445.15,1.5,0.78,2,751,moderate,1000.0,507.95201000000003,512.7636256009185,3545.59,507952.01,1000,0.01
CUST0043,3,47542.91,-17.05,0.88,0,636,high,1000.0,321.35725,315.6811961063134,3022.98,321357.25,1000,0.023
CUST0044,14,51637.14,-22.77,0.87,2,674,high,1000.0,347.81246999999996,330.3588362579285,1994.34,347812.47,1000,0.013
CUST0045,17,34231.05,1.41,0.91,0,657,low,1000.0,221.29912,225.8258753393827,1545.56,221299.12,1000,0.018
CUST0046,4,62016.35,11.01,0.71,4,622,moderate,1000.0,211.66034,207.22523297815377,1461.86,105830.17,500,0.018
CUST0047,18,27408.14,2.53,0.94,3,664,low,1000.0,95.9342,99.23898426301584,672.46,47967.1,500,0.02
CUST0048,8,71037.27,-0.63,0.63,3,735,low,1000.0,248.6235,260.25617820551025,1912.21,124311.75,500,0.022
CUST0049,4,100111.48,-1.88,0.97,0,708,moderate,1226.37,1286.58304,1282.211653826034,10638.42,1929874.56,1500,0.019333333333333334
CUST0050,2,74351.83,-9.43,0.94,4,712,moderate,1000.0,495.72338,514.2728773822184,3850.01,495723.38,1000,0.013
CUST0051,6,50617.05,-2.22,0.95,2,687,low,1000.0,180.21556,176.01212179712348,1020.45,90107.78,500,0.01
CUST0052,10,70538.75,4.22,0.78,1,706,high,1000.0,458.55793,437.3662034191809,2636.07,458557.93,1000,0.014
CUST0053,4,92410.67,-4.35,0.93,1,640,moderate,1000.0,643.13085,623.4595297083536,4494.54,643130.85,1000,0.023
CUST0054,18,91409.89,7.51,0.85,3,665,high,1136.34,587.59426,608.1943887386218,5198.1,587594.26,1000,0.012
CUST0055,12,39924.84,1.96,0.96,2,690,moderate,1000.0,276.02727000000004,266.32932475653587,2017.95,276027.27,1000,0.016
CUST0056,2,70205.93,3.17,0.95,1,694,low,1000.0,472.40707000000003,463.68440854901144,3800.53,472407.07,1000,0.014
CUST0057,10,56837.97,8.89,0.93,2,696,low,1000.0,744.8494733333333,737.6292742087783,5035.55,1117274.21,1500,0.014
CUST0058,4,76131.86,-5.27,0.9,1,673,moderate,1000.0,512.9041500000001,527.8980941350985,3771.86,512904.15,1000,0.014
CUST0059,14,67672.28,6.59,0.91,2,661,high,1000.0,457.72929999999997,466.00853923887837,4387.85,457729.3,1003,0.008
CUST0060,16,20000.0,-3.86,0.88,3,838,low,1000.0,67.81111999999999,66.17394099249765,384.17,33905.56,500,0.014
CUST0061,15,53039.74,3.4,0.66,2,725,low,1000.0,376.94834000000003,381.6850829893944,3381.72,376948.34,1000,0.014
CUST0062,8,63971.17,-6.46,0.84,1,701,low,1000.0,223.85752,218.1643823351763,1240.77,111928.76,500,0.016
