customer_id,account_tenure_years,annual_income,credit_score,income_stability,loan_defaults,device_change_rate,ip_risk_score
CUST00001,6,21106.25,611,271.15,0,0.088,0.021
CUST00002,19,10000.0,712,126.62,0,0.147,0.07
CUST00003,14,64033.83,683,526.85,0,0.016,0.227
CUST00004,10,79386.81,737,501.9,0,0.145,0.06
CUST00005,7,71792.2,801,446.59,0,0.026,0.114
CUST00006,6,21755.89,570,304.51,0,0.046,0.038
CUST00007,18,85970.65,703,453.18,0,0.053,0.16
CUST00008,10,42544.6,613,445.23,0,0.17,0.25
CUST00009,10,37327.41,727,328.79,0,0.04,0.034
CUST00010,3,41984.19,664,414.19,0,0.071,0.038
CUST00011,7,61960.22,682,601.81,0,0.09,0.017
CUST00012,2,22882.46,603,216.43,0,0.307,0.107
CUST00013,1,59074.1,654,555.79,0,0.285,0.386
CUST00014,11,70736.21,685,730.09,0,0.106,0.018
CUST00015,5,87683.1,761,880.42,0,0.214,0.04
CUST00016,1,64398.92,632,525.63,0,0.151,0.045
CUST00017,0,26509.29,647,225.93,0,0.024,0.026
CUST00018,11,63722.26,737,612.86,0,0.141,0.014
CUST00019,11,33493.54,628,366.51,0,0.256,0.073
CUST00020,16,32051.37,749,250.61,0,0.107,0.048
CUST00021,9,25932.41,679,315.25,0,0.054,0.063
CUST00022,15,12218.66,698,151.05,0,0.07,0.015
CUST00023,14,45820.92,702,372.87,0,0.203,0.074
CUST00024,14,88222.22,643,641.66,0,0.057,0.001
CUST00025,18,116412.1,703,974.33,0,0.214,0.077
CUST00026,11,45660.37,634,289.45,0,0.002,0.017
CUST00027,19,87152.64,650,584.39,0,0.032,0.025
CUST00028,2,50135.44,714,326.73,0,0.072,0.12
CUST00029,4,18731.61,698,129.7,0,0.051,0.102
CUST00030,18,77523.56,676,574.54,0,0.053,0.073
CUST00031,6,65870.35,604,755.82,0,0.076,0.078
CUST00032,8,105450.49,619,830.9,0,0.116,0.029
CUST00033,6,21633.04,697,171.82,0,0.147,0.002
CUST00034,17,129900.82,724,1269.38,0,0.206,0.035
CUST00035,3,99792.93,613,932.79,0,0.067,0.017
CUST00036,13,59551.91,630,545.28,0,0.119,0.172
CUST00037,17,52534.06,688,358.98,0,0.212,0.026
CUST00038,8,42104.75,687,462.96,0,0.191,0.051
CUST00039,1,62743.32,583,621.65,0,0.181,0.039
CUST00040,19,55401.6,690,451.84,0,0.013,0.213
CUST00041,14,72844.89,644,457.37,0,0.017,0.227
CUST00042,6,52640.83,778,505.73,0,0.256,0.04
CUST00043,11,95374.09,695,1086.5,0,0.043,0.048
CUST00044,7,63126.15,705,337.7,0,0.125,0.046
CUST00045,14,53579.57,707,486.28,0,0.104,0.116
CUST00046,2,85607.16,607,613.81,0,0.005,0.088
CUST00047,13,19436.91,797,172.45,0,0.307,0.21
CUST00048,16,68524.71,583,449.66,0,0.074,0.12
CUST00049,3,60639.28,728,678.15,0,0.024,0.027
CUST00050,17,24728.74,717,281.9,0,0.022,0.218
CUST00051,7,17287.42,651,214.52,0,0.204,0.163
CUST00052,3,85258.63,720,734.16,0,0.157,0.036
CUST00053,1,84069.77,661,446.86,0,0.014,0.011
CUST00054,5,64313.96,639,614.56,1,0.047,0.007
CUST00055,9,102916.44,708,1018.21,0,0.323,0.006
CUST00056,3,71024.2,620,545.5,0,0.059,0.01
CUST00057,17,91245.13,667,1062.27,0,0.054,0.18
CUST00058,11,70508.11,644,740.37,0,0.107,0.01
CUST00059,1,53104.76,660,317.02,0,0.107,0.008
CUST00060,9,33561.72,706,171.44,0,0.045,0.024
CUST00061,3,44914.09,644,377.39,0,0.154,0.022
CUST00062,13,53571.94,668,368.38,0,0.044,0.044
CUST00063,15,94078.83,650,705.96,0,0.031,0.039
CUST00064,14,79247.99,767,661.2,0,0.104,0.117
CUST00065,7,68257.98,701,693.13,0,0.004,0.015
CUST00066,13,81750.25,693,704.6,0,0.206,0.045
CUST00067,7,73184.59,721,682.1,0,0.041,0.029
CUST00068,15,66548.44,644,445.91,0,0.237,0.277
CUST00069,12,22533.51,732,142.81,0,0.007,0.025
CUST00070,17,88478.94,701,786.14,0,0.08,0.063
CUST00071,14,48537.2,586,490.6,0,0.002,0.028
CUST00072,12,87213.51,594,858.0,0,0.095,0.042
CUST00073,8,89630.26,646,867.41,0,0.011,0.026
CUST00074,14,43249.02,601,385.42,0,0.026,0.032
CUST00075,12,83742.9,666,424.9,0,0.07,0.032
CUST00076,0,50975.31,619,504.94,0,0.047,0.122
CUST00077,6,51124.19,674,440.32,0,0.014,0.076
CUST00078,8,66436.83,765,749.59,0,0.022,0.121
CUST00079,0,67111.81,677,401.12,0,0.112,0.112
CUST00080,11,60963.79,662,295.52,0,0.053,0.036
CUST00081,7,26642.8,703,296.08,0,0.059,0.029
CUST00082,10,56963.83,638,520.41,0,0.116,0.015
CUST00083,18,116961.97,731,776.85,0,0.369,0.34
CUST00084,16,10000.0,710,111.55,0,0.143,0.006
CUST00085,7,81743.51,682,460.07,0,0.119,0.31
CUST00086,2,86428.12,689,858.79,0,0.096,0.283
CUST00087,2,26041.31,803,307.27,0,0.025,0.16
CUST00088,0,48264.03,737,418.83,0,0.045,0.003
CUST00089,4,34982.07,812,292.68,0,0.028,0.207
CUST00090,9,106349.13,712,450.38,0,0.136,0.076
CUST00091,6,87575.63,592,967.7,0,0.109,0.005
CUST00092,8,88785.63,664,730.16,0,0.059,0.092
CUST00093,6,63016.18,578,533.8,0,0.149,0.165
CUST00094,8,92802.3,712,800.74,0,0.027,0.022
CUST00095,7,59794.09,725,577.81,0,0.109,0.034
CUST00096,11,93978.94,627,916.85,0,0.048,0.038
CUST00097,1,56282.59,641,612.44,0,0.325,0.001
CUST00098,0,43018.95,689,543.09,0,0.041,0.193
CUST00099,15,105273.76,608,869.75,0,0.223,0.123
CUST00100,4,59478.78,604,527.22,0,0.07,0.089
CUST00101,2,37530.0,754,284.76,0,0.081,0.0
CUST00102,11,37259.15,687,320.43,0,0.058,0.239
CUST00103,7,37335.53,647,229.73,0,0.031,0.07
CUST00104,2,81111.06,578,743.45,0,0.214,0.238
CUST00105,0,57528.43,731,513.76,0,0.059,0.044
CUST00106,2,117448.97,639,1300.12,0,0.201,0.069
CUST00107,4,89654.45,792,568.65,0,0.012,0.031
CUST00108,14,66428.45,732,403.18,0,0.47,0.095
CUST00109,13,95097.44,632,815.04,0,0.164,0.044
CUST00110,2,47612.32,637,380.21,0,0.043,0.1
CUST00111,0,13630.35,783,210.7,0,0.058,0.07
CUST00112,4,35260.42,675,343.08,0,0.143,0.012
CUST00113,13,63680.2,649,575.52,0,0.155,0.15
CUST00114,6,54436.46,682,526.49,0,0.064,0.087
CUST00115,8,80610.38,649,558.07,0,0.045,0.132
CUST00116,14,56884.66,694,525.86,0,0.176,0.034
CUST00117,14,78700.87,675,745.47,0,0.08,0.047
CUST00118,9,97524.29,733,665.92,0,0.03,0.077
CUST00119,12,56807.6,657,503.4,0,0.072,0.039
CUST00120,18,73878.63,627,447.89,0,0.036,0.0
CUST00121,6,16130.33,659,145.57,0,0.033,0.188
CUST00122,16,56902.65,659,459.14,0,0.053,0.031
CUST00123,19,29201.05,675,295.46,0,0.064,0.228
CUST00124,3,63630.67,718,457.75,0,0.132,0.074
CUST00125,4,65899.99,715,634.88,0,0.042,0.047
CUST00126,6,65816.91,752,433.3,0,0.082,0.195
CUST00127,12,47996.94,631,340.58,0,0.22,0.2
CUST00128,14,117461.72,703,1180.46,0,0.092,0.022
CUST00129,10,28299.46,724,320.89,0,0.166,0.153
CUST00130,3,26771.35,640,231.36,0,0.073,0.154
CUST00131,12,101374.46,668,1159.53,0,0.103,0.1
CUST00132,6,42393.02,575,456.41,0,0.026,0.089
CUST00133,18,36382.73,734,492.93,0,0.126,0.004
CUST00134,1,117572.8,667,719.53,0,0.185,0.028
CUST00135,9,84643.07,728,464.08,0,0.036,0.09
CUST00136,12,45138.39,692,595.65,0,0.08,0.179
CUST00137,5,65437.7,669,563.87,0,0.149,0.003
CUST00138,11,108646.78,584,955.88,0,0.168,0.217
CUST00139,11,77290.52,595,770.39,0,0.165,0.161
CUST00140,19,92153.71,524,382.32,0,0.061,0.066
CUST00141,10,80120.08,646,397.25,0,0.312,0.09
CUST00142,6,83256.33,817,1211.66,0,0.141,0.156
CUST00143,0,60993.54,603,436.58,0,0.033,0.036
CUST00144,0,60283.71,522,481.23,0,0.061,0.066
CUST00145,19,66676.26,738,483.95,0,0.12,0.028
CUST00146,12,78361.32,822,532.3,0,0.259,0.043
CUST00147,8,52917.12,698,480.84,0,0.01,0.003
CUST00148,2,63051.35,697,463.5,1,0.041,0.043
CUST00149,6,52241.36,661,284.98,0,0.023,0.085
CUST00150,5,62892.12,572,589.04,0,0.111,0.269
CUST00151,7,28725.09,593,271.76,0,0.249,0.001
CUST00152,8,125149.44,661,917.28,0,0.159,0.006
CUST00153,4,41676.5,649,274.2,1,0.052,0.01
CUST00154,0,50963.48,673,449.04,0,0.229,0.115
CUST00155,18,39518.39,730,189.74,0,0.092,0.032
CUST00156,9,75392.72,645,451.81,0,0.132,0.005
CUST00157,11,55099.93,731,485.31,0,0.116,0.026
CUST00158,14,35904.81,645,316.48,0,0.07,0.077
CUST00159,8,76422.08,742,616.16,0,0.093,0.257
CUST00160,19,79791.23,685,387.29,0,0.07,0.075
CUST00161,16,58328.09,654,467.04,0,0.148,0.243
CUST00162,16,43409.35,684,352.68,0,0.06,0.075
CUST00163,19,114776.65,662,1010.85,0,0.123,0.056
CUST00164,11,68501.69,687,562.09,0,0.192,0.06
CUST00165,6,28148.28,725,206.3,0,0.01,0.023
CUST00166,1,95351.01,675,669.97,0,0.08,0.116
CUST00167,2,38605.63,658,266.27,0,0.032,0.031
CUST00168,16,128546.96,613,757.12,0,0.195,0.069
CUST00169,4,61991.45,715,513.77,0,0.151,0.273
CUST00170,16,85332.9,701,748.92,0,0.016,0.011
CUST00171,16,10000.0,609,167.96,0,0.053,0.001
CUST00172,16,27896.48,730,336.99,0,0.235,0.018
CUST00173,1,93346.49,608,1023.64,0,0.081,0.003
CUST00174,1,67945.38,742,466.5,0,0.326,0.074
CUST00175,4,111059.91,721,1193.89,0,0.284,0.012
CUST00176,0,72129.38,705,588.81,0,0.222,0.027
CUST00177,0,63632.41,657,616.58,0,0.076,0.245
CUST00178,18,102839.35,715,881.59,0,0.118,0.041
CUST00179,1,85253.42,745,784.33,0,0.056,0.075
CUST00180,11,55093.47,716,349.61,0,0.108,0.038
CUST00181,5,32647.4,640,421.58,0,0.05,0.019
CUST00182,3,10000.0,696,101.18,0,0.149,0.141
CUST00183,10,49058.36,748,455.36,1,0.297,0.159
CUST00184,16,30341.62,812,244.78,0,0.127,0.061
CUST00185,5,124942.62,668,1024.86,0,0.065,0.039
CUST00186,4,43740.73,731,334.32,0,0.203,0.258
CUST00187,19,43057.27,748,364.28,0,0.37,0.015
CUST00188,1,21968.88,631,249.14,0,0.13,0.086
CUST00189,5,53342.07,787,397.01,0,0.045,0.009
CUST00190,10,43386.63,616,313.78,0,0.045,0.01
CUST00191,15,103443.24,729,596.43,0,0.028,0.063
CUST00192,15,64211.9,698,309.97,0,0.075,0.244
CUST00193,0,59778.4,683,511.91,0,0.155,0.179
CUST00194,8,56633.18,833,520.66,0,0.003,0.16
CUST00195,5,79654.37,662,694.63,0,0.051,0.048
CUST00196,15,48691.8,661,518.66,0,0.22,0.004
CUST00197,2,76680.15,760,541.47,0,0.245,0.112
CUST00198,19,100349.25,726,1027.42,0,0.032,0.016
CUST00199,3,71501.88,757,684.57,1,0.179,0.004
CUST00200,18,53756.72,687,625.3,0,0.226,0.045
CUST00201,2,36163.52,699,279.09,0,0.074,0.29
CUST00202,18,53121.9,794,551.94,0,0.055,0.206
CUST00203,19,74076.97,630,722.26,0,0.039,0.008
CUST00204,6,21686.82,674,213.1,1,0.027,0.025
CUST00205,19,80788.57,728,634.71,0,0.007,0.244
CUST00206,8,65190.32,668,454.59,0,0.292,0.058
CUST00207,0,56270.27,646,578.61,0,0.083,0.068
CUST00208,7,43514.66,717,518.88,0,0.242,0.009
CUST00209,6,48090.56,760,490.37,0,0.002,0.065
CUST00210,17,74932.65,672,445.7,0,0.046,0.114
CUST00211,7,56794.71,670,528.6,0,0.05,0.045
CUST00212,0,47471.5,641,505.14,0,0.009,0.01
CUST00213,10,71714.09,662,594.11,0,0.061,0.108
CUST00214,17,72704.74,745,934.99,0,0.033,0.003
CUST00215,9,28770.62,685,322.51,0,0.011,0.178
CUST00216,2,74287.02,632,508.89,0,0.068,0.217
CUST00217,6,122542.46,696,1188.61,0,0.066,0.01
CUST00218,15,71740.52,743,542.79,0,0.015,0.108
CUST00219,15,17524.82,646,196.71,0,0.211,0.121
CUST00220,19,64434.38,600,609.04,0,0.108,0.005
CUST00221,16,14229.62,811,162.0,0,0.279,0.006
CUST00222,1,139184.29,597,1194.45,0,0.012,0.029
CUST00223,0,115891.87,658,1024.09,0,0.058,0.053
CUST00224,15,43351.54,694,458.88,0,0.104,0.155
